n,correct digits (estimated),N,lambda
131, 1049, 3039, 5.78319833217059432157646083936190003315068331928930290871292514340271298467517927297735917372226020513228918630760162802182983483773763108674372509060007111464118807844677045159742067300178397813440643994059628101559321413439373635323054801592325785065550861816679698169146699722118384724749827287011228704865607759389082051044720690126123316798482704451952715437720397876126896505374401543742858711609443051105471119548390775124874732113860676451528705450027209358148057963838253475819543090779851021538702505794698767298786717791584165077476203843603801893702080769103877750038654329907442474339059202695350693286375337217311396315779946234640720882862050083257707825212925928147546638214095571065995903137944162293403279933808633318288031157452148265526243206586656464529726692274119474134424029811792742839371347104760048628982287554362015048509472708382789864926636675196746216665811050720415592285213132612338252454928355909545334706019583216560596162274446282942557885841133096389919181987900775437690984223615027596205660931279875230545649119
132, 1049, 3039, 5.78319805317406379416540163107744553985210423271580457263016992698994692707905185643830046786509571995075070324483568518839514731169951363786241182372225686627866032453299182756138415801935991432418641306685049692467720493816504144033396420424540953753698282173366104680000155447142444525889983796222701352670153241106124257097649301609812328166607627255346428089271007431332513627999027996613397450802473237122944836990153842618853751121617154986756930626612466556515506357816984515181361318230324894368356365292633284222623473864014281282040251113229193194328719081121067513847413438324836009791891664437084468044091584721542145113848780469308925248985651539448286134360429849075265747461076336005808426435774362714043261359713255239231238129519247543442946815127980429599260051297892785021063189407123822787772422096685912412958337645660728874555790730659534075675238335678464692368545053704631159827223721096608819496007360105961529242160307129501008369720544914737423950874358575003987573308253710781440698117028592121818311135059973176722993308
133, 1049, 3039, 5.78319778250548166169739739742360902284256362599155132543128810747489878286530472728829058384487044003412213815403147142209988742759598506346706368879074384927506589948495935855244844064781886898399406803530377756217040371801333008532665354407057589784988063840396685064111324330046312197850248242410592059543104773200777824574206490499894251225573228477162727668813009910224040513256704194732947799612552176427520708334412639579406990821744194147793471024433133022210379742974027658827263072212722339742624428723454824378008909913269464011722490001848133917242537223549995636783990969620623193869696231094182292480154678273281328517183504763219925690254746810801308350246940359221971285315376651803960091977441575564622349352230955918215130590088257265238138358934633028232520601228119050759126493601015035654712278690315648815359203053184257484517673325999366551370046263494465591271139497789092538689860392499734767646716155731381234843885752862679700710167563902654879618438130295063320780239996017361561077900422563084383380214991403922038275215
134, 1049, 3039, 5.78319751985641850182496477772925610279421174062457378584307456696654203720331820108513129339647651221086385758166122777596674068927546775312827269843543867642610673471706914914549115650873917328925643313770299676766344873556305198609927540246988290582216733208118974175420428410726384474280444271312221896374038465105118841770657917517628550726040351676307792327358808923246308109337718282616877244939759036112630242536767620404984230391059403221728261640252059895181924106674672347267706895046333007950364084505078440024350583942563363248756112246448113790512355110695265819384349517271049855225944319074690426519180900059991874306276305144791173037518955410269533025071397146406588547386266716866230001040551780682536653790279960024902587884479840654739643702512791496163039789728459982856966635836722526783509214784055153790455837646721497775610765568046666369538528122030668669038823344802485630902386003857881339647876468007432491275296177034284331924539564422077405537791905969411401424283069743793374792111934156675648974175585654269307358549
135, 1049, 3039, 5.78319726493205142280133747938195184354472751162400487952664165544283721841289142283885214460758219032030276448843379690238246003641181509458767314330920477772480711470787971714296633375081993256570024515294689392215076828064584029453517419015312751518771528229758687633557147296723928329545748440123482465885385618585717249453851366240525226917607409591460378082162070532596414191934927396862052061211629287467929154981890620540885965261599176551592008110715074518086362901835974557582340747622197399082718563749046228301885990793964270936915166132061763985169713523689059274960681082087499898248044578548363909509325260754451142452846566311527498044339334055992173879214698626024921948954396328745586353201905495001683669968496424532720724082446539661760616782897322404108378630209586718031513591562771744251896269225268323423240033428930346288080372777109561683507390262686253579869792408481114123609569364416911053864026547278031606424677706998011936549300444764520655777619115132051222292303352580341444187788024219818140515233612444402766971656
136, 1050, 3039, 5.783197017450468875813125929970793135181216310333193219740785737069410797892399943466824963307049525420415816896463479182258038545812638996128293660876522479192078079340576903079815731565962042378559835745497488061873674891136989515528180179866218953302404142180557549198870827216977246796848335625584168883620112628711346267870348644112650055471422532398693379066556185229690765628490835873182607294054063026086355329536605759008346514685229484858668014990014617516641427291583773342906699325480585861387181762500994061225917803230284410715052761419481165322371344625608154004888199052274042119912453593933994802163838400206810403762437342094261283893574306955684141996778361353456594959578800234417434095828034342427214293022643414830045245054564927827014033967124095361515794424633588534052177257825640820413230570746015145820763155305613922811404173813578508032174855515523279254163113294048543279683523713476846073460360886006322223279106040117604217198316537265341047254924853868310089180165579244259283018480186310560709783147307940952617427135
137, 1050, 3039, 5.783196777142015765755379102248524859135607462907751220696666227326700112300887849084308354988469470289436158296918464920876891146243421447883562467901054844355978658185988761578543988198968187194595176909384938679131682012874713613642786995511882862335405257785578251213893464023829820928665012279940278011297957844795337114379340279066417481080583328513945177665523256623893799525274576629572414033068202354457866294656106149099168428351119644332832227566864743378157412024807665528014912129687306009303182743250145261225736650708547161020627524014612024035763730633740700128627188780763831051578597296157205654470821502591730695586288381950149796873171531528485892564009041474189415287522075273692094313631025599211446019821967702376611227988469515684042520990449468910433650462373962304016241207892728502721556699364940156464022119009252062623194314093753501482149542019253888267716681015559983946047977884095147300665987816100963403223573630924911223730620244800139689177885986884036590461851417600949621707038456602263840503193644690315972697964
138, 1050, 3039, 5.783196543748676251355969965179691633199779643683297279918565845887472597843073877792411062443944028242499992670794744276222734858557163654387597750356804259538509081023187129576141205981990066392707981797116864799749244702860983218618126106641087893418964605883419722326008605981769547025889075773545398448173003620708073015800876206258981125580122055171205709544213298428025426324566682336798460726220709358309279514279114616566022154182133800297996445101442314022863406614001100949484804018535667166554896459213597221566503025938199848923683418130572205456207680016092256936728719587846641065819807148634286203201706746434152498527494027195699521011123199608420698376829292462494491116239665746470260735023375052803078274068342748911249656671196452530295380901711175814634265301051269189321407626204278645602269139038392848802732119644808778730859508576990629738531269416998833133691925892141099550823915907590805798373622500859580293305116823128299854272889520658250781205822480737400347396946627398220802563308239305347382801541105326329015641608
139, 1050, 3039, 5.783196317023491811908038205937672952555925601271018410331822355754927088617676471939704621259106302215079870748075166315202702174645539414804371560359458539511889617596299804042889772839609446936608748819598630020380467804890650983774300701731539869720998369901525882572299359617231226376688904539147465719017796413981993407945599928780521697755136502525553720358390716091879534600461819382489595273311137044205324985775972122654292282877277397573605845766893344868630043783194419289310380865262257694727253681442545986865552677980821084411078261405060791952493857846222095786989034982847195682527902650384357698846303861029155924626400515860433238146773893653886670944376178234718280015506740485995090312244899317847664805452324530588675306511888107456804739903250858928107570341241897084386194976625540629485042432964986448815045431619550338760073297030550896904409280302822029244059945356735438872220914937807278931397035860137197569616313525303352867306162835580764467769952717246938457040439983754852121192680670071818981878582189490273350976631
140, 1050, 3039, 5.783196096730012329683931080515407261140116397836050440141400670446446267388262860324654197801522296296258074196390923102494749691066872686910814389599471501690365871427749127680998128222533934071604315878693994517076410062122722323080874399547871452916936474053004777011603601106005885038396921259602482454315125195572787653997869582841481820083418204590586592842752647352460514332884212508031856272211444197897781972110240411282283533859498094985339063422476428424523554078484648515964206286263881404590311982194923558410404855510405199483963904705007525539784562023899344173423835855652834137817019605718734540792470089426241353669319791362957388607239979206483952013557524739155953927900013146893716903618248940345792936021655603596248315989635342497663411586957078730973544563077402402244975395130978434384482392725674124398049592018862556981518859586922437917035957729216866798691032458365377386612759806078287906563116855123284195679285565159086746002757543378048719636888581897004763703035497519659281398857909897513562376447137908611731090799
141, 980, 2835, 5.78319588264177809561008708978643705366023341721152957420696390898587176862251116571000116664466843414409815098140498654860151420496035084287663854125627072928743907630830498765419567605159373388974773915178363473840379150723353420514880245201269784850712450891377426271095731957112944469073758045340827506149961754826746033652658795282072639273391463593896619588420920846395848892623671446900025772682476915227446696900293870166494209997409328415607671865408350024633815057765293610585084952420842771559293486832163304494792868403584957527905442784277379678992682073820660618333825927509957621523364807671803654732737839919248352242133455103551958321720391953575538120443027680930434640742027944206216124289677898001346191433636802985361157847771863538079693085171665334223343558021141262240776031093589908349817815713457859229453578501733777273928214980460059489313279599342186008093061889672796673747669670074456830886337513228252661189254639828473995954159040557620916087385263
142, 980, 2835, 5.78319567454183079209634447072860419375002513070197467702146971421416277788532919776493928495889293464945364781872873387686991647091685866560240953606729606834919784623986238354968771202601128095181183852789430691640681094596273459816958357913554187840496003662926078871615113209502631518510814226648099450664374010484070476231979589706746365893832715099914187938833045139169600451778716666035903538824383998144527729045708437626294140996280180678977111051576065499547688847560882124404218651861227688225036673396500144570169682254090871637427718813201659111796182838071663041313308692177317385934480168984584534539561620252015621718914852087044586365386723684434588783821132227412937309790699873061542397283754368483738878757513954623737108127398611379100075869573229773611578190612100873822662652466235712529920713498845090991777840603824001180532153672359599794150983800785590383050544198944939790089541352641573450184630396906843669520797761519411903195570395428400508067172091
143, 1049, 3039, 5.78319547222225164205115477742472589237090337921464284449511748897238870093227854571933459535678946416752578193906140377454243093583497293971413370186478350458339233999749166810149291907817864578480767432747782412462765293598520746868750327689536965957732193146513131813600798770511917779379879763395579513609109422978593523215483652791635147974321065535451289417580796958097548340988158611141602571626936531043207341361306014903413426788285921841834988440043354004343100933758762112020634871461183095940559046225974374398657516127236911473984472383560899288340437826545185034788759967616706984038030301407175918901277379964605059025402323149007108457686753697462720327211327124080902216340104762988110599611843693610563516693520480635046983544977953289914053577533630583968590927461626453630485889072039942618701709753526704309317274563821363496843009333214220654028107105690029266770313070020073839349050949779201807268008090820758637481800083059714453401929986876587188211769230889520229467523866063563022113246868904616300463650771975952501278971
144, 1049, 3039, 5.78319527548372503800099194550578547398296739626651133753972227496506040235858034712023288296827202146407922709101366390472155911228263006927213873406194519149488222324188797225794838616314349688680563271637394886320516865810491998230362253085684222249648948018793482393534289321861018314220059057320728234414421100731955723874288245956288617653187494203794948155866013853324016304432312915430555889587528111996007033318992649113503880975279073947585061670809608847239641301174047939216714537701288034320284316626908468058303313205712962973240186166720492384993415042497833324472869155991917457458208384421058030236100509619561346344399338080435615098769135817169071892952155029722550581403841311948829269356929035628749551399726923903527144633118630934916651434743807805354486023926957304727987156866065751353416288411604349682009749101492032268732924579624878352290089458455713560601176939824111541598090216209312409399749228280792508713148815326830818912354903399997966128999032082453605380167865258706309251457842947404174070204723591433902658875
145, 1050, 3039, 5.783195084135126080710376077178119900703268965184776668966317274698995319839076895491877576489048195879704056477888946566932642073532600269624457226698515603079246987893136560503727291727163505204641638329950786530688410158041074682817319976045710043086862353147786738079039187620117044578656201706828690776100404247940692817782552845290605686512315580067371823831560273358100619056501714765851767308838921306688583932551299095577624729838218310101337582461867701163353981272395460389276385263022468862761986983863412069644401676777892297953503234144535448815500894039848752117270164070244512407411076635508150455983248374256053682815445075045660937044000827872140466796691525297343859911677869100882896426033267680521630554804615652895722098182823765449982246031223626649217732821015137808310964188235041361207076638511522549173094329065282656383074122249972051817031022955939936609372687051339824458134475700538938665387467296554563318953841066555577033816855086086885224334407815386642625035458785419679858522876449455136533096464766165939928197679
146, 1050, 3039, 5.783194897993130563536383404875214594259743023232725859307920802096872441319245767767528601003301867294312903309867669176371885748803620060780737592080020129269018052292030890890398428213091104513581968145804465813744824114273137136315450367413389740642680576051863799659828625479999653416511523053129196201260215329646679456429006017487242292124006245209378150748868393739879822515038166877490890640859088749837883160367295461323044812796647818472570980698715635173753443699932325227846139036165939906672547355143831553481003101437787141131231695741479377840180347389306633005201251849604754829780422985596785583204344038522134538936095614450296464482547771617282027450456645651210284611288572941295087147536036067618186393504957348154833870455156560676762888493231804144505523815283710754032883244187809148905354469522169125734687808420691639102241029503172354747606216539613292786097500813902976767785063589183427603369622336335844559212831096813155800214004414963925263837740568819118539354508612625823578862120274295331463526719264150027307433635
147, 1051, 3039, 5.7831947168818460376488389106165087799453564413638605962680666780098985409767251907694971520692518759194581988990802577224644084523711216112858491627823777726783724056010122397427622325579110401808818566055440448237609835293722713289223237333211438509092290221945651274713423519948904013289598763703172710448615468753517856479301669508275455100339136297349016059809979402586956809894851325674543268560187606827544797002463277737939188075509384741613132798324212966067475873702975756395492063059312028297727129276269872138957404531396382894363002242758187228767248418812131612059680007753495651200374064917251380558688653883156193962669873461568432995981587467358730462259017622739693965832901040790953058511960204970683929957903011765565457076584515416407722951326544402059873491796710039249556274476615514236976500523627478998691465361767945043623269931867350772347519652683789853837207506085852480033214858697081457957960829528786686529520642993302371535051107470469681938890121041976420163098744253136527991358015542783357092218138957463012472002142
148, 802, 3038, 5.7831945406324626848440177107114630282591761698819934790466752261835885985119605628777280813703826303751660727301550181067066443091459672309130500702798349749220689154705311216135448484169169772168306192662139338129782902734233043798270595661896526159750614226897631773336239814072953551281967760969579804927529157119146493218393703104675474650584422352422973011602270079136074605635803311745882455058853023538082497914872555912424664968534256683761320715407136997713891516665283223812692167835974687500276201923154370548332391905844420225803075350322296207243364054052173340028359232215174517725682114995161610271478669694973473852004938475553057569120794980755071142996288521048169369373683322742260554692667781093433875972541984771963213153527739474363609136603665896012805419405422853517886886848386
149, 980, 2835, 5.78319436908292280955963368174530113406291235324826997452593169918494102061586809420390599744709939578904526712042389204535650182280824639045256740877499169569968682028289539523848142791460356420556981651636928240021758155543661175189900429490260668793932840899178941345052732942468001817352435884362195435014342236609201961811015060934286816610409308305985705896161768655577655536494749535338408158247848633463421411468684446282106768660927499148415063373561485498050795116572695545892805535391015247244711867231485883313764826912990662956563057932525398409038556800538033944651489971694835184303678047308833321907113007567180484021170173288021281834032820714526752686001008928632182476061266940316824007448973203019085633673728592111384466503045852988792866464656069525100552691999218916782733127954846069255281204713954624269263020641765157669084612970771438605720101887718143728304737292206054621559849789167685694548803446816922026699769584462298607731563729059986131220737789
150, 980, 2835, 5.78319420207760784039591066621089004886749594874286780923884175830698276080651411787831792365946271157783720153082287174985733471457856944169678768732724666373283216263259764361069160418652943199614877751956645470096258092070917377359523380206928036675148245344792194672803485233766587007743669161413138666624333152670981677281825031453172377059614928485143099459629326766788638863579438730810098040256964218456821499097464253646875333293381749016634285961448685869505488464761920221429260366776215042698550716838377434162080797258511898344312985096655588131766916505228735165633106663555753069363251115810177343547519155183581083522078696569011328619864071468476976587220730698953593064897687074576342531493825578557376114135690162003899528594196599265221598811838705506629283581829919859728162651259300943495556029926128346536954768869644454066008081313266111322028430453860949072963205408596954704946590426806039884696119813329787492911885038207461640504364317611368355148091406
151, 980, 2835, 5.78319403946704180444970875853746513923615672429479127268842607038873405207598005964178578395517639988206725547053992665559300572258214641737493355581052977074226770314258428059644791253072227092779468062535136671476837520832152346283422864623338788580742928798904464924771346053852650696921217135596117467454897213059593164188127796504196180365557990143503037219401338136133686031148217453596810928548514583302389877349245125823682112899911622512676874276943304410600940125382159622150054952925894401272309512228695698687737136266516885040116621773678400141198415645551109887212864340912114569406821271604427900814871620190342558252296215481562042995494430927275285061264631496323833104708501503678113323785992800396684116850021291598695529494276633039901848699446875028236225459712554484132226446873359936336710425234241031496239979825184583434279101984784386138875165648679110010055598946077440518235351491622597920162310974731606057461965027306058639401289387098417893908704576
152, 980, 2835, 5.78319388110761030552264195041788052746133045662476206718770640124468082925003760039131022233380444360074137917302750608056387353765503456237231337765320428812212465203197374140399252547424409583297327110992944150338889070453362871098725550197942988432782347403236660312710157757853393157117193888885441545680181411845616325656900227425165370308600713469255590836035875500455305834091918898385996049141493666117048370222134643306415628962323989804831183345754926233535402406129302880395786654615387802045646209135734083750125604412922836678167624425341659167714705190060434368776928146650303637644034822370156554018165189627409759037410285994364462719190833004375310473220220832327078072478346424492215568544169922244814205943257898713562423313151203664500972321065547885807061872135558575754311357400275633397524101761952666476795828217247691674534674695269207210330965123196044631375386041603910443768089415424571388522069729863959367806195941598468500973157909914827349210559828
153, 980, 2835, 5.78319372686129410017880033586592730168469166011122058662667659964571415756685785060413281739944877470769901800305338002531954264647979563974211442674563253724650071100326196766140238617443905142569272185952929650078345609222937324242056489840296674856144466422817038732624133642224189330818180406667061285839821802897706741548327204155425558661570554419799796484200516530778403780634839698002299796281571900732771146110873693759375296558182172082030626329671470000947546429740635867964343349959651995838066906679380767319355582744296276148348557938221897178338870262989006058139145898540586313232421538267068493109900528138584879480516954657619299248805535482993007479139211473866412673019555862405358843630161690944570386629720069492423083933902323475424698107325699909665406250765142180609911943141245699579246074293694749936190699699316078555552338427873060143367198938970429449709796862965358260114542377447984689049230826333206086682924742333021326205325620750852227319979456
154, 981, 2835, 5.783193576595416424077711796129586575824392001533495866452808034626518512280719201332701249161163057363763253199190753981039490468819181754234684073708604947297601198604570819633409068056813307051744330394977261140789102057037578316040471660939477580861717094272491946173631089207485797056851818365327760862536954300489397311167829928275417973449223933931894563174959546518574158038447689214358365795228704477136532590769797807983972973255995750635763565843797327234378127299278732569620969864747138763783984514638554425522198153461152017899111576288460551876572294581942814299378529556641945920352630834442125107822786796341034027312396049762089933992948187247723818353611478884806346638359812648537313085147615332736010100878033804842955646387576573777179182510546417830830911104725964360078392545945918234129230158561031884623785448516892790368247926474482170005581741531529160242386899271108430416713206848980389690331686253557767212350626547296374310458630742088153330608093547
155, 981, 2835, 5.783193430182403275336958926450437062726598757150423143335258579000408092413687333368924546205353649291283458902726209511224437173381387113372610150205688190833690737523996345591583345086313194915256836337259784545792658486484925223535030447097806720858193990988369252246170478823351197706951203350886630240495389960538755829581505306189885450980037578398861708970962153873680815910253071740296604045510445275087123097295418742848555171822855829989663137594341279839951074487734227702539230401670985448959713343754537648240116556511092215336426961378631765079112512399256882265856036952270601848656203843057089833533069991938479155506438790788016522925426302401411939114630964851772760094438244861474790674816088328316176087730640826583216208588249961893476005741061799840993227630355976158958717272910459815305240393823133740773927037779517142538762112991716858856865394270803136888207719204815363387032983629973622405531915399799856574079042549661853879480366143299876581066100897
156, 981, 2835, 5.783193287499555912201387453205361361007716413041986426353662576850923865946014831675991142435749489634059645769338518033907023630869602864024501550289623623212701018646992308425051955174780473440542890020840004621757448416109998707270139228061927628606198780645930072207253287041410265390177551818246252505926324343092758283060679809663520404316022417540527717635837153273882108517032205488700122047736207163498187953341923495999408542956842974481191936313471765556887196561295334602714149563461369723309835971037512879941930090421132949441129962564258610035900482526222380542397935405071544838418278988134281142785479329118030040548930749397142473397188542439643153599176270655288273215027877494685856127995301559612363204154956660539322703092699957885604014409037702963000557842567354296115853394632614765200416963310791150505804959014970889527521302801327778830311910309093839756114078716305333001269007734796261542459318327141515574374482297375560209143238967298630471572926144
157, 981, 2835, 5.783193148428834869301168530116731008082416656597363257189988480369259060929126761615916411718332265402788044655696802722172428734685812805772656759525238306396493073219022265355927441411947405455353918906902052823256434578196439314167278688990085117209740144175420931944781274631189032751311285532952368142465149922532394273012886125775191352440007675901740374820381101450644036063379407318357921411885841189724177537104319911979125823969056668947303698903057621026208937113698527371287652754051984173613589030899526324299080037117218060686041102533428546640471076027063185016602272935409045844591015259183183588814115590925844326719725132264312883107589388541974430620181730657472284494498710634927417131606172193481559291449431678339064509388870091414710184080936796828174284563302169793891588106417257793509354563662828919906861762957486630616863101616671182125179943363921591999799872381676454347468508770002933960031119942422480171442805284237956768654548947161488735345188662
158, 981, 2835, 5.783193012856654840534542226331585126414362444786267265404022065461070834608284168821863264848088045394529029648370813274073141408920795761303508961645938002864132177545954334552144838705536903244077231519508585570126901419669000720125108592984890142961731617733497098312260728980718069594771317707038833154118204127123328100525781251025030357191113931232681462180117873952265873180025504635682999772097780860519934396816535409546891003116077767374132119039997348471775446890271740357697822408790450165330039754500266952431143373378189136101427259446748070595373956989969007614126552169695290233796982623080936522403035191856904198564486538259280650355694171808734857874844563841845785729074574999445704601243330599159490313786362421405910440153378992388463163545220948665414527620222242922871047093437526855672188732884173529505718227847565727804704293326480962368072459324258826699875011927654259720031354000490282554719430148090167467053124819406813528837150290877888700327975977
159, 981, 2835, 5.783192880673689817356741224866849593612624569581339347501129906482797495316425434587014276121046572507480109230402021694816565757817205069418464961609271733589508916650316843709055311204827811469367674620932482371586184487998483637287920444630788895675566899313926766889957295422293504338114424375064797146208943340377671602824161269714961610793997307969892373498922270504525200724089268290812055100529886049916400581394359382162640577840374086119963405346888394518307309064754121779924451767268760812784459364421012803420550084241583101586336996869122791362529675769228728224485878512250657340066368475229269201674568893097235505620626619998965702467623194246550778928073085235311097581614211458673671577721256872233389097976846671428355048555736917229996258401314293092234458741847840922072100390546910123730088235916106848743846322842086556867177188846590398623415507542899752731086289214168216706007656834840743453818266143249258722697636731974258826630538653319605161727147776
160, 982, 2835, 5.7831927517746879092185502133235877316300611268729356583587991760157522900361062843935817067441010995206021029610522311888902297660891138221417547800796379467708892271848242420494442033483951218515696983809987384453066595112398638066248769316878511993856874084594539560174708838513661561542413554460526628494796347621761970673031008409121463818427541329157417877606582454601569929192126514500763245835097907329806016523268365886964903514999378147940137288627244286072526030491712011162589276598790839862393577751847071898891129734566742422468914323515072856612718355898625808277245703594936007926164042721392898354614441452570735483730962793473122826049444097850584501312843723620819486920836910243343652381246425102252399049073446911351785729947294232988437791020562475013948727133398462851869457405672509890835871803285942044969535505749148600779477071733334157839012055891475794502265219436060913792232115983880821087550780765094396006670962444968872441921273534816255053504420382
161, 982, 2835, 5.7831926260582953082823871255746829270916635042692303451695077785476215720571658390707938677505496962706168920978165402185143108964373785795180746062886784674032207902662300300705114029306122179360816071999087962254336964854478935500626988301690544789515260651839605055815460051135955040699135327365965210844507268310992037130855756659295195100966470317988943235989185825442595139410980815599070323223661364076087487768823179968839729318097661761332757649113104257290111458586870370465058816254330103423923123110962477568213026116324081231740025749544831240222382797900265411516154537517513987883912215516202826164741610167688644868619570938840968816113410423333428625681757689252659006776214871936743493368937847222595971373323783174063735778695319371607956126409641543773237976182545018764395729522837030633823999494603163823708227394944576158343672106553014164620038058016987647679103395431085115730673890825936602454779254624543647274178834198604124288887291757935396207021116028
162, 982, 2835, 5.7831925034268888935404431497846640652118818614457409149516422727748222840464669893192465109739872449934422290787134205245184760755544180587801653253229501195584165006010318693946324655554547732951701292683427124088760270992006058602831824837231607144168181590705544140026113688347021293387184368180030987394057570349807517275593689385416599588636660376257565887097977807836369817633167378454681604335297388919467232603320514525012787028139657058969756447104469802827320617952663749864478322145962903390616025060439710816349085625813241765655160171283377109018116518824245059654460935810630938198042400128958463584517330532566588007693282908106648218755915179100476886888639712315905823400937131189078805647736787308176120467845680739487979215343302426274358974633052065335903076656573140169600148373594667380276337026557836692566033847600727281302442236579470576970789496268045951106208256574610307598514212381282832444151874778633793770114154669161584435755654520128202356811417214
163, 981, 2835, 5.783192383786417000242995167336979480529942807273949179430785905782205570711304625184774457872073619348143369412682141846816954606963897898175971519705560153210254123730536298503594940486292220524898884548480305057585218883660006880215573345828691218528104270304071149349145116920755123500407747046973186340922094165952303793057939506460021830360404774928822358668219182043562767968574694351808737945363424415373302740978670267501572856424846065311431124977163758053442316115863032511178406959360373002555081514303186163590570152807698071106286942160363519179963530508946221409874293075125967337109027448671120809107131908438805427611030435526471920810192850877911572071633814632093851005406373207077462396430075209007512107158081069565950289658288715959667729989175185340278575953000238294776078564411191833048854016995826024050084870937589369798042046235272657502710119840531593741209071674161563357275704391654696572652509235832934451090367546822812250089249674476124470267502053
164, 981, 2835, 5.783192267046247909276449028247419411811934895870155100435843295256000181774248303030767086018292443392187167156157859710093022685681626588323006134290085242015385668954580961884948760408707412265945136257485348038063031215079664906303303926064006926229976652896743019040914459444574174666287444223250794710390497419489445749504101522123455867916256878374891733728163050573858133949285035846382824139624735296065315424714197634070442497717204700014862264085649380655475378490260180074622726275201019143897239689040764342467403096326984860040894648786315360609382240570849985725688786966148222665487979157054196214183272266359558174044427894763839602454938124854161713978622779346207057926994047365933494502498337453874472526938895070979230937068940732763777910801219542160056216878269749798641664684617471875743404685261938367104297924094453048140978442780516942077574366965651707158321093878830644872043994927695675859196457669475222732426865927527468523454870166823172189624136952
165, 981, 2835, 5.783192153119025637958323629760901486816267682283002659151288968921254375467440965131609818257907982089890895949604196961944616221603388096017931144579450122109384042166863611734309983777656998610195335670923991507961597314141009650055937846877605697123926351067555105647203035757219921149176592422626179395207126034070562433084042301336841382326001356373727319013633206003679911498955264197711521020397905971763634088980874827560275429326864618255545143053797433249879169444928274089308384367545234775098163774812546149337045020896679403326848534076743551439763052910544494664823630891600784063262149773904781808664586205383300004840909964247101399758761505268808678931209086582225933118715187030011173686670644630792876690234585835943407632839077669353291578326678380834442907168490124158999220949204996012031254230928328538888300039791422171172188208643882147771562282489485755203849285642812411017784015296181407177413652606342545393568739331370941219586122960150164277459723886
166, 981, 2835, 5.783192041920532638777036294188212610030896358702382021018579037074812715559945673944584965766258876256543109587887875188920461098975093132232785600881590196005422708214260131480564057525733064075352759545147032692724447304925134085351769301336921304375139843713653801032509016758922453397808193874757038552895196215777652663727152302995361167464345480457475120507224881567966050483947699389449825796403248866767231813461581069452647755184474340508330243760658382252115245603761357644738968160279453776063886717274431173532220541404740313012763093353756396579921894313577412478092625626813431320359582923193498147480934907845423641409176505668508594046651163028260981964895246145249012378052999034676656501824704698238926337615010145199834345383320553920232457718044653196866552695100077530032380768370173684392408539533537332148058899133297206463674206073472281039840275118784716677274782641868365821358789300847994705095800602925358546921793762647772159158608276423102929187703961
167, 981, 2835, 5.783191933369559036024207074485849572614784753016495789111634924759796572564998522322006326267763840563113661454078383562588756292989463704822654608909875431382158702727772375749175692972363030386724247277601078588501911269315254789362380468991145322643129952535892767909330118187615921322302265372443360367425688306267819010958767569609103611109940188763338278105922049798691235841745445828808760816174288137720038347559304540317367021963688244684896524370549168942953031285814002772304120195878034899346737901058712819360521088958459940994956191346577851323060967612708212188012951070084618047068268839592141440150059087707575920718353834714275633907351543616355183892083374844956267809700909001714503731046078240345059679404334025966261555870215787984602165556046491774376270170049599203958084331226998769882930642094305347306501101584805618744273377954459046615333838846223745569635862747075093240231843440129679038122704590990004447884741632895556755146392510515998072898945315
168, 981, 2835, 5.783191827387778052162763245837317894756664180239298941346445293144730378726476112172999469407947865924616419930878355521719709094778584141993146471098317921817578642243159685463772042898197150548551903946043615074085238672563248861169371730309431250345957084276421194818484030557934209985786107803283501024918074793101932665745304401514204127800956219309523786522723080551004617257244635263413851592026573655913319083998503503439257562345718906389614791460651577425944080151228791892733178493105568076926173516219391604338100719020338621290155058169782800478481168552789850262143284841926236117223534636822408154610026675956237796275021025308283891211682526018938205828233272968050473282791187712565924791023868353868025054359819371609429043229288074013180533637202650882584574998181952028094983891550914684215216440634771630444457132149122384470078916133562092427146606469272775124827101336380185097278941485461945172625341950846191679280389295528386766274472132459449315889595476
169, 981, 2835, 5.783191723899627296252986937149871846534707664175732800861955798187481300470558278360024226571486678337051757361985471120998422787480474611234799810733616031627208917731043182941539932378510221188761018877273168774075258362134980443449719911314560043536683131112831019511589936842934239440620293552632482583064344886280677318477346957492443756428177884135080359519062752966653554372654549138455368936209370988032542469807349149760845289155447253872347733462241053648551451611597203366548320349145653088389672571475543505214086557667686367783248309359497064469098027771628850151528999729583362232785064049553505835565115259043243959190463080655781742755254743622102690852223252953528445655299237904589330873411945675051416631095817660783144159032350435054437446804897758272229363461428372036076292917799898274314630002152057615905592470978644524954946650867783008783110381996701449991968708249602160616940864502978825593636512696724142005335537721405513143135521272791274382589322462
170, 981, 2835, 5.783191622832195605920221155932643173758053809899932623605271615412870215369417399550296221620569689207980146569221482118225367016224352685564864773638428564346965580487754628088236988070170251609404525053947914254430395004631739676631338738294491217106194974755657385775419614124796173394538434224327428350331258888982120912546908912478335377648147500249841455745676025474750496834937143615072774973186495902836887187994407876994229202006804817012635316514701213740569018235032345185569493607396864474234471035390346823011035423638619547804345054895285232331138817265898963689488777832122270193804877978648598061666348776503932051530582865347967368377550672936602370603563929206949061107881197918955284978399470649416959336226519805065723336451783943874648442064110602778999256183085130583142731944818973414341363404293448222533673237119571199640054124920069461054937373023385347760170306366667496227198732177212177565662535596013111528504496474578846606793833130474645288199796481
