n,correct digits (estimated),N,lambda
22, 1003, 3039, 5.7858001294283650275745860443434083658465152450013362020412102138655314882427033093110027237202266518242068343069804228153512028039548883885000349518036918807930968375153354297644572462899545896849548328567497905566454274310016963948359622308247034456086592242735554357341576036656448997519383351303415498147519752422325170794794002047441933037856844743572904941178589933444731667341710969798738058049060807757955950665639297307470833395812051843359405713371761185971392590229007275855759272559742519505165067852378279513360184808804718126372770933474194306952863202434833241381393839512934512275880164354157744222210620346290098343028284501714636403108292369915410365272687011260408666596169037645281633596460799201540262690296563679448415269632619356047043561161179239837418355202862947605861374026690561393136163524963215896523588736395726604415007178921609423064789979003694493619218382106499582001577120598979813061820959715077881931607620153994872637024143677164284191881329111996710211742506859281
23, 1003, 3039, 5.7854734864549016320482640701967564443197042731253557951298327637220352839446346820721143024674237001240991793606299871645276341795861581562984331954768941814439836422363321562182787730799789814435417095911581452479803691882429630140358067240305344298011573733846393128310888108832562897481705352395316584752183089610593778460921705905826965693239281925673856108593413715019471753304938074518357478415016290088675596814381043808036916509895321137872922148910865032623494756888772800958433874573547777163042542460407389215899735829176897918420651256253905759023365777910229197301248588084511170444239020384626839483100947716951745457998445790046487129217995517320301753763264099186384771224683659097460312650777191250556905911816339526987680255493954560502978039187970533366629233776502068696158712891851648661529603879225772034995944115618825039410264951035711221436839391065631580177120824168579419672198504914471541146040197817699136867768899006493518919539879786967369999419141687602833829335216021712
24, 1004, 3039, 5.78519908979002409183446361297969063303959848805181400255334130933300294754338091407282232880140150874816874098124781094318554719331484969422881458876257502860723944772170158622396954528355117000368420276302917326341279753189049464839238082166242634400680224611336332554714052848263315215568587802643760908136682330789798072082086072216936866543554568494123130569470493663133140629479499149573595641523364561870193192662894060303766914179965872925746783143455230886535193851957625341346747400584469598875486454834294345768443068347163026710991398293670927410599409586750723058955147343883072177817990099555250393841445103694181583355096408250223677122039077399148475935332672764824570596863355412121584656270742929956297071316970577145761660571889547760938029968391545346332078866537701738796457303999789980033805354624346071600874096349140916549801478974462746826069237891607412189539826622112523519659210331116052604297114789964511215518042989050777633547341546008324623168156673309452703355395617582934
25, 1006, 3039, 5.7849668941304235014186706838851226120341859263223773876123496846137984639333355675101391140359490778634423479429952523737923704329771964131289430760780583359283281695977876658224324629875987302915819197951926697883347636409414969774414556050891271309957341083459973324277649795608853962633454692799966387343409351436788598168314023666922397874265155886730993261840678087220602774641113939109165261266035863627035305260457317826149162753398866184849846951064392627991361621298385692001475648305208788728518472640255260111988725039680411276972384844040228924114846453664678544315053619460184402573500508062950340241489981103684377769652206783224629990976017080693739873912633510730575974253100095922344651121366217850771173445135371423997816945128822990849484990672660240685922651615074819419383633773693802058401065572037469659520954403442054128830447731988813108390749747754087084362676063655068874109237808331600765187015112092054696936292157395535286191068781721024602197253239316873840545209783042513739
26, 1007, 3039, 5.78476908631484297799227471769265283816229363399672463572498275838183680666234001602146602335896252256718168371323112289934806254181443113329403543272867245360832764631097121240600178828218369014305809693946134337176612353046854266113984753511311065046436214543241722876338628078185488246351190475085512455784296852703662371768414933919929108627084512089789075887887521666360447974693074535339748397501639527117946035456489529286224400565702595891201685629034105656395451962338014161517004904926222210035348071359484560422971507858671941074816961095214037643235287794616970395072829863561785534234361162745551406485464092817771663909721769758880497805826897415103175599755027293278592514646037827416545692296068597170713313806195623855822996322382856519469790001665760617382549454705236727317294470306010941004568888083061966731453100197479422809575202098424747345395124566436829430850568006724463768033844885711419225492046700660125446797520234486739690905357659613831032079297677589334679189296808938204271
27, 1009, 3039, 5.7845995272364846405932228271557722785394731147071434412652541937851627814595666309956244471219235159949338669727610652908955100847333803679119976999083450073975467619409360185090616769881594138856115100526884048883735422881584589788490088539892074804839867517120670370500101992130163745271030938866375379028794131899554256774572747964951593253386704498043295778225972527857898980584829681007112358659115329552869967392606002697174980717175273097946168239394679597311714785490438587755181045255556199152279325875459208866237709541800407470242735950866620639585407016566101126559979803157564977470153853669479832268661831698631887509986398985775681475298485764449578078229580591837922524212438573497820964273987567577913894208521555694002185668904431460559279742421803623202800907564146859516706391707008278634604979367558012238597182848615945755872244285181028648447689527888784414590283048850944375698193114687194774215312431333617491705451857647953771436201123539675915710258568816963596238191798930365517558
28, 1011, 3039, 5.784453347751719951196794842399030522501580163363260153515762106464687575563379877777184317702869009810954358202168314220520610239604085864409491643005585797148202374560004554703408298350869385032460158761215572694122878366763545989916893241111688695679841952997923298414442506104794781668486406307388588152713408985298150671584164286962183031593148360646233718494678640704901167137653771950097392955777201992080339190501136154367884902520381139411803948305067701240653956773971550532983194987686755972772566911520514255126159513530212832597813939368271128917959398450412509573935188287010006018131143571589928946785882570896069000396289638866845394270394124177432151878001251755607648394910459059819383127113492067211315508812159376168122716036966297870972898764779215685707079866185421912575582411223327333944848471040106422953384518261379686416555710829137625742367049333347613700677977233005163053280561818896462779551860771084587167915834451395661808894155080313821909748347871777699776719967135145508361754
29, 1013, 3039, 5.78432665236541120738029338594629926068212892046651355251326942000256861519360079326036926882705285609770607873813756051788042578296793037512697291848089263904690262444642998736952396213791958028642312353375965659111113341752065302355286050376051670698931819152059186345562342925109997710059173188412393837081620462542598873943065050026147123335418526471938816497335430550618095432262471592729405207104572176842786855788303781551224635767227131717362215960107811283912025665117635679260047349875752436935146448342077990735411742624114184173482852622349832344910566426863962931858163986016303992125672586029454078310690353798725713295795974604416011836377876265058653086943879743544802602717978994212716939108759860762154911564527490593059985196394397020067217004177209996668552411564109739539289892347727864338812451785858612700968998427329604541538339009556354519402113223128983338523873688077731580669584065854306404294107990724403908486506120984114041867369143822066995879570158671032545360307353449383429022394
30, 1015, 3039, 5.7842162993922640441190367340720802730198500291520854654688237762838359201654470784358791559826839027572223044464606836973714280006534731677725966082532761528453095225788927527773562827785724920788298902688975922906571841111435234604804215165217035478973203972093427023749892554911577932605575455649370234023523499588857517145946557543304232336478859322943962326883501749083666036328612169661287768186438558530763400729666315481841206074251193821587337938576188909159491239397596584912515630212052177427067715531057843519784030370530726871423599372907768105329447514325422416392138686998205090041467395030246963171334021397860773026383601111797528240266927129272786583623793682204033752082850033333179944749713875719266488372128847107242057198628105292694656824684762825536381172609653771708682421899966570235981851045902794764382199777586793118192499918006692837502646989495921473158947399710176471827939367950791551996304282744691830820439235950069878007290671912901975583995099540120462002058891806180666398596971
31, 1015, 3039, 5.7841197360800327033445283845988112784612556134392877389412643645625707680912016163567635054707020851614874442130353654038046508927291688531102667159310971889613358834694630232863299680348605021180712759867694788892117577612794705549642931374886893035430879929937186251059952309873533051367791830071531637908184813474939758205647671768490370287456914931456320599825594228732715364074914523726252299022981393475849140706726057539992065670824825571330934434640156992799741356195995239772161667766379679276495982981372567537878268242853999384653842465207948287046009717318485964444330721834428048498530774641212783356234470785627166128915689634561206224312676388530953830252632627037602422235307702639389195189867082759936488892229696478474183938764631297324154012847849320062134263325406305416961411153318790945477268273388867048559517269735998988846792949928991930407335899083671347586006189250290370595204407640302175163733295135855320410259092839699685498378030968808223376968593152974925158734743398297050237749684
